medcodeid,term,eth16,eth5
157351000000115,hindu - ethnic category 2001 census,16. Other ethnic group,3. Other
6270391000006119,ethnic groups (1991 census) (united kingdom),17. Not Stated,5. Not Stated
2484511000000112,ethnic category - 2011 census england and wales,17. Not Stated,5. Not Stated
2484551000000111,ethnic category - 2011 census northern ireland,17. Not Stated,5. Not Stated
286006015,new zealand ethnic groups,17. Not Stated,5. Not Stated
649261000006110,ethnic groups (census),17. Not Stated,5. Not Stated
286003011,ethnic groups (census) nos,17. Not Stated,5. Not Stated
141421000000114,ethnic category not stated - 2001 census,17. Not Stated,5. Not Stated
6591911000006117,ethnic groups,17. Not Stated,5. Not Stated
2484471000000115,ethnic category - 2011 census,17. Not Stated,5. Not Stated
6591901000006115,ethnicity,17. Not Stated,5. Not Stated
6270381000006117,ethnic groups (1991 census) (uk),17. Not Stated,5. Not Stated
141291000000111,ethnic category - 2001 census,17. Not Stated,5. Not Stated
4740421000006111,ethnicity / related nationality data,17. Not Stated,5. Not Stated
2484591000000115,ethnic category - 2011 census scotland,17. Not Stated,5. Not Stated
456651012,ethnic group not given - patient refused,17. Not Stated,5. Not Stated
456652017,ethnic group not recorded,17. Not Stated,5. Not Stated
286005016,ethnicity and other related nationality data,17. Not Stated,5. Not Stated
6364801000006112,ethnic category,17. Not Stated,5. Not Stated
